Plot ,Site,Warm,Removal ,Days from Spring ,Species,Growth form,Phenological event 
2,Low,W,C,123,calvul,Woody,Flowering
9,Low,W,C,123,calvul,Woody,Flowering
11,Low,W,C,123,calvul,Woody,Flowering
13,Low,W,C,123,calvul,Woody,Flowering
15,Low,W,C,141,calvul,Woody,Flowering
17,Low,W,C,123,calvul,Woody,Flowering
18,Low,A,C,141,calvul,Woody,Flowering
20,Low,A,C,151,calvul,Woody,Flowering
22,Low,A,C,141,calvul,Woody,Flowering
28,Low,A,C,141,calvul,Woody,Flowering
29,Low,A,C,141,calvul,Woody,Flowering
30,Low,A,C,151,calvul,Woody,Flowering
31,Low,A,C,141,calvul,Woody,Flowering
6,Low,W,C,109,celgla,Forb,Flowering
8,Low,W,R,109,celgla,Forb,Flowering
10,Low,W,R,109,celgla,Forb,Flowering
16,Low,W,R,109,celgla,Forb,Flowering
17,Low,W,C,109,celgla,Forb,Flowering
19,Low,A,R,109,celgla,Forb,Flowering
23,Low,A,R,123,celgla,Forb,Flowering
5,Low,W,R,87,celgra,Forb,Flowering
6,Low,W,C,63,celgra,Forb,Flowering
14,Low,W,R,123,celgra,Forb,Flowering
16,Low,W,R,76,celgra,Forb,Flowering
20,Low,A,C,123,celgra,Forb,Flowering
28,Low,A,C,87,celgra,Forb,Flowering
5,Low,W,R,87,celspe,Forb,Flowering
10,Low,W,R,87,celspe,Forb,Flowering
17,Low,W,C,76,celspe,Forb,Flowering
27,Low,A,R,109,celspe,Forb,Flowering
32,Low,A,C,87,celspe,Forb,Flowering
2,Low,W,C,76,chipal,C3 grass,Flowering
4,Low,W,R,87,chipal,C3 grass,Flowering
7,Low,W,C,76,chipal,C3 grass,Flowering
8,Low,W,R,76,chipal,C3 grass,Flowering
12,Low,W,R,76,chipal,C3 grass,Flowering
13,Low,W,C,76,chipal,C3 grass,Flowering
17,Low,W,C,76,chipal,C3 grass,Flowering
27,Low,A,R,109,copche,Woody,Flowering
14,Low,W,R,76,copper,Woody,Flowering
16,Low,W,R,76,drarec,Woody,Flowering
17,Low,W,C,151,drarec,Woody,Flowering
19,Low,A,R,76,drarec,Woody,Flowering
21,Low,A,R,109,drarec,Woody,Flowering
22,Low,A,C,109,drarec,Woody,Flowering
25,Low,A,R,87,drarec,Woody,Flowering
1,Low,W,R,109,drasub,Woody,Flowering
3,Low,A,R,109,drasub,Woody,Flowering
4,Low,W,R,109,drasub,Woody,Flowering
5,Low,W,R,109,drasub,Woody,Flowering
6,Low,W,C,87,drasub,Woody,Flowering
7,Low,W,C,109,drasub,Woody,Flowering
8,Low,W,R,87,drasub,Woody,Flowering
9,Low,W,C,109,drasub,Woody,Flowering
10,Low,W,R,109,drasub,Woody,Flowering
11,Low,W,C,109,drasub,Woody,Flowering
12,Low,W,R,109,drasub,Woody,Flowering
13,Low,W,C,109,drasub,Woody,Flowering
15,Low,W,C,109,drasub,Woody,Flowering
16,Low,W,R,109,drasub,Woody,Flowering
17,Low,W,C,109,drasub,Woody,Flowering
18,Low,A,C,109,drasub,Woody,Flowering
19,Low,A,R,109,drasub,Woody,Flowering
20,Low,A,C,109,drasub,Woody,Flowering
20,Low,A,C,123,drasub,Woody,Flowering
22,Low,A,C,109,drasub,Woody,Flowering
23,Low,A,R,109,drasub,Woody,Flowering
24,Low,A,R,109,drasub,Woody,Flowering
25,Low,A,R,109,drasub,Woody,Flowering
26,Low,A,R,109,drasub,Woody,Flowering
27,Low,A,R,109,drasub,Woody,Flowering
28,Low,A,C,109,drasub,Woody,Flowering
29,Low,A,C,109,drasub,Woody,Flowering
30,Low,A,C,109,drasub,Woody,Flowering
31,Low,A,C,109,drasub,Woody,Flowering
32,Low,A,C,109,drasub,Woody,Flowering
10,Low,W,R,109,drofra,Forb,Flowering
23,Low,A,R,123,drofra,Forb,Flowering
5,Low,W,R,87,epaalp,Woody,Flowering
6,Low,W,C,87,epaalp,Woody,Flowering
12,Low,W,R,76,epaalp,Woody,Flowering
13,Low,W,C,76,epaalp,Woody,Flowering
16,Low,W,R,76,epaalp,Woody,Flowering
18,Low,A,C,87,epaalp,Woody,Flowering
24,Low,A,R,87,epaalp,Woody,Flowering
25,Low,A,R,87,epaalp,Woody,Flowering
27,Low,A,R,109,epaalp,Woody,Flowering
3,Low,A,R,151,eupcun,Forb,Flowering
13,Low,W,C,141,eupcun,Forb,Flowering
16,Low,W,R,141,eupcun,Forb,Flowering
19,Low,A,R,123,eupcun,Forb,Flowering
23,Low,A,R,141,eupcun,Forb,Flowering
31,Low,A,C,174,eupcun,Forb,Flowering
10,Low,W,R,123,hebtet,Woody,Flowering
20,Low,A,C,123,hebtet,Woody,Flowering
27,Low,A,R,123,hebtet,Woody,Flowering
32,Low,A,C,123,hebtet,Woody,Flowering
16,Low,W,R,151,hyprad,Forb,Flowering
29,Low,A,C,151,hyprad,Forb,Flowering
23,Low,A,R,109,lepsco,Woody,Flowering
31,Low,A,C,123,leufra,Woody,Flowering
3,Low,A,R,141,ozolep,Woody,Flowering
6,Low,W,C,141,ozolep,Woody,Flowering
8,Low,W,R,141,ozolep,Woody,Flowering
9,Low,W,C,151,ozolep,Woody,Flowering
11,Low,W,C,141,ozolep,Woody,Flowering
12,Low,W,R,109,ozolep,Woody,Flowering
14,Low,W,R,123,ozolep,Woody,Flowering
15,Low,W,C,141,ozolep,Woody,Flowering
17,Low,W,C,141,ozolep,Woody,Flowering
18,Low,A,C,141,ozolep,Woody,Flowering
20,Low,A,C,141,ozolep,Woody,Flowering
22,Low,A,C,141,ozolep,Woody,Flowering
25,Low,A,R,141,ozolep,Woody,Flowering
27,Low,A,R,141,ozolep,Woody,Flowering
28,Low,A,C,141,ozolep,Woody,Flowering
30,Low,A,C,141,ozolep,Woody,Flowering
4,Low,W,R,123,penpum,Woody,Flowering
7,Low,W,C,109,penpum,Woody,Flowering
10,Low,W,R,109,penpum,Woody,Flowering
13,Low,W,C,151,penpum,Woody,Flowering
18,Low,A,C,123,penpum,Woody,Flowering
20,Low,A,C,123,penpum,Woody,Flowering
22,Low,A,C,123,penpum,Woody,Flowering
24,Low,A,R,109,penpum,Woody,Flowering
27,Low,A,R,87,penpum,Woody,Flowering
28,Low,A,C,109,penpum,Woody,Flowering
29,Low,A,C,109,penpum,Woody,Flowering
31,Low,A,C,123,penpum,Woody,Flowering
32,Low,A,C,123,penpum,Woody,Flowering
23,Low,A,R,109,pracol,orchid,Flowering
11,Low,W,C,174,raoalb,Forb,Flowering
3,Low,A,R,123,wahpyg,Forb,Flowering
5,Low,W,R,109,wahpyg,Forb,Flowering
15,Low,W,C,109,wahpyg,Forb,Flowering
17,Low,W,C,151,wahpyg,Forb,Flowering
18,Low,A,C,109,wahpyg,Forb,Flowering
19,Low,A,R,109,wahpyg,Forb,Flowering
20,Low,A,C,109,wahpyg,Forb,Flowering
21,Low,A,R,123,wahpyg,Forb,Flowering
22,Low,A,C,109,wahpyg,Forb,Flowering
25,Low,A,R,109,wahpyg,Forb,Flowering
27,Low,A,R,109,wahpyg,Forb,Flowering
29,Low,A,C,109,wahpyg,Forb,Flowering
