Plot,Site,Warmed,Removal,Days,Species,Phenological.event,Category.summary,sp cover in plot,events per dm2,events per m2,Growth form
13,Low,W,C,64,ASTER,Flower,1,0.55,1.818181818,181.8181818,forb
14,Low,W,R,64,ASTER,Flower,2,1,2,200,forb
16,Low,W,R,64,ASTER,Flower,1,1.525,0.655737705,65.5737705,forb
2,Low,W,C,150,CALVUL,Flower,1000,60,16.66666667,1666.666667,woody
7,Low,W,C,150,CALVUL,Flower,1000,30.5,32.78688525,3278.688525,woody
9,Low,W,C,150,CALVUL,Flower,1000,43.75,22.85714286,2285.714286,woody
11,Low,W,C,150,CALVUL,Flower,50,0.55,90.90909091,9090.909091,woody
13,Low,W,C,173,CALVUL,Flower,1000,25.25,39.6039604,3960.39604,woody
15,Low,W,C,150,CALVUL,Flower,1000,20,50,5000,woody
17,Low,W,C,138,CALVUL,Flower,1000,7.525,132.8903654,13289.03654,woody
18,Low,A,C,150,CALVUL,Flower,1000,24,41.66666667,4166.666667,woody
20,Low,A,C,165,CALVUL,Flower,1000,8,125,12500,woody
22,Low,A,C,173,CALVUL,Flower,1000,20.25,49.38271605,4938.271605,woody
28,Low,A,C,150,CALVUL,Flower,500,11,45.45454545,4545.454545,woody
29,Low,A,C,165,CALVUL,Flower,1000,16.25,61.53846154,6153.846154,woody
30,Low,A,C,173,CALVUL,Flower,1000,25,40,4000,woody
31,Low,A,C,165,CALVUL,Flower,1000,19,52.63157895,5263.157895,woody
6,Low,W,C,104,CELGLA,Flower,2,1.75,1.142857143,114.2857143,forb
10,Low,W,R,122,CELGLA,Flower,50,4,12.5,1250,forb
13,Low,W,C,122,CELGLA,Flower,1,0.25,4,400,forb
14,Low,W,R,104,CELGLA,Flower,8,3,2.666666667,266.6666667,forb
16,Low,W,R,104,CELGLA,Flower,50,0.75,66.66666667,6666.666667,forb
17,Low,W,C,104,CELGLA,Flower,50,1.25,40,4000,forb
20,Low,A,C,122,CELGLA,Flower,3,1,3,300,forb
23,Low,A,R,122,CELGLA,Flower,7,2.275,3.076923077,307.6923077,forb
1,Low,W,R,90,CELGRA,Flower,2,0.75,2.666666667,266.6666667,forb
4,Low,W,R,90,CELGRA,Flower,2,0.525,3.80952381,380.952381,forb
5,Low,W,R,90,CELGRA,Flower,6,3,2,200,forb
6,Low,W,C,122,CELGRA,Flower,2,2,1,100,forb
10,Low,W,R,70,CELGRA,Flower,1,1,1,100,forb
11,Low,W,C,104,CELGRA,Flower,1,0.325,3.076923077,307.6923077,forb
12,Low,W,R,70,CELGRA,Flower,1,0.325,3.076923077,307.6923077,forb
14,Low,W,R,70,CELGRA,Flower,2,1,2,200,forb
15,Low,W,C,104,CELGRA,Flower,2,1.025,1.951219512,195.1219512,forb
16,Low,W,R,90,CELGRA,Flower,4,0.75,5.333333333,533.3333333,forb
17,Low,W,C,90,CELGRA,Flower,1,0.55,1.818181818,181.8181818,forb
19,Low,A,R,90,CELGRA,Flower,1,0.775,1.290322581,129.0322581,forb
21,Low,A,R,90,CELGRA,Flower,1,0.525,1.904761905,190.4761905,forb
24,Low,A,R,104,CELGRA,Flower,1,0.325,3.076923077,307.6923077,forb
29,Low,A,C,122,CELGRA,Flower,1,1.5,0.666666667,66.6666667,forb
30,Low,A,C,90,CELGRA,Flower,3,1,3,300,forb
5,Low,W,R,90,CELSPE,Flower,3,3.75,0.8,80,forb
10,Low,W,R,90,CELSPE,Flower,1,3.25,0.307692308,30.7692308,forb
17,Low,W,C,90,CELSPE,Flower,1,4.5,0.222222222,22.2222222,forb
19,Low,A,R,104,CELSPE,Flower,1,5,0.2,20,forb
23,Low,A,R,90,CELSPE,Flower,1,0.525,1.904761905,190.4761905,forb
24,Low,A,R,138,CELSPE,Flower,10,3.25,3.076923077,307.6923077,forb
27,Low,A,R,122,CELSPE,Flower,2,1.275,1.568627451,156.8627451,forb
32,Low,A,C,90,CELSPE,Flower,7,9.75,0.717948718,71.7948718,forb
7,Low,W,C,70,CHIPAL,Flower,1,4.25,0.235294118,23.5294118,grass
16,Low,W,R,70,CHIPAL,Flower,50,5.5,9.090909091,909.0909091,grass
24,Low,A,R,70,CHIPAL,Flower,50,1.025,48.7804878,4878.04878,grass
14,Low,W,R,90,COPPER,Flower,50,2,25,2500,woody
24,Low,A,R,104,COPPER,Flower,5,0.75,6.666666667,666.6666667,woody
5,Low,W,R,90,DRAREC,Flower,1,1,1,100,woody
16,Low,W,R,104,DRAREC,Flower,8,9.275,0.862533693,86.2533693,woody
17,Low,W,C,104,DRAREC,Flower,10,3.25,3.076923077,307.6923077,woody
19,Low,A,R,90,DRAREC,Flower,50,14.5,3.448275862,344.8275862,woody
21,Low,A,R,90,DRAREC,Flower,50,10.75,4.651162791,465.1162791,woody
22,Low,A,C,104,DRAREC,Flower,2,2,1,100,woody
29,Low,A,C,90,DRAREC,Flower,50,2.75,18.18181818,1818.181818,woody
3,Low,A,R,122,DRASUB,Flower,8,7.5,1.066666667,106.6666667,woody
4,Low,W,R,122,DRASUB,Flower,1,11.75,0.085106383,8.5106383,woody
5,Low,W,R,104,DRASUB,Flower,50,47.5,1.052631579,105.2631579,woody
6,Low,W,C,104,DRASUB,Flower,50,28.75,1.739130435,173.9130435,woody
7,Low,W,C,122,DRASUB,Flower,9,6.775,1.328413284,132.8413284,woody
8,Low,W,R,122,DRASUB,Flower,50,18.5,2.702702703,270.2702703,woody
8,Low,W,R,104,DRASUB,Flower,4,18.5,0.216216216,21.6216216,woody
9,Low,W,C,90,DRASUB,Flower,3,4.025,0.745341615,74.5341615,woody
10,Low,W,R,122,DRASUB,Flower,50,8,6.25,625,woody
11,Low,W,C,104,DRASUB,Flower,50,33.25,1.503759398,150.3759398,woody
12,Low,W,R,122,DRASUB,Flower,50,2.75,18.18181818,1818.181818,woody
13,Low,W,C,104,DRASUB,Flower,50,16.5,3.03030303,303.030303,woody
15,Low,W,C,90,DRASUB,Flower,50,11.75,4.255319149,425.5319149,woody
17,Low,W,C,122,DRASUB,Flower,50,8,6.25,625,woody
18,Low,A,C,122,DRASUB,Flower,50,6.25,8,800,woody
19,Low,A,R,122,DRASUB,Flower,1,1.5,0.666666667,66.6666667,woody
20,Low,A,C,104,DRASUB,Flower,50,18.5,2.702702703,270.2702703,woody
21,Low,A,R,122,DRASUB,Flower,50,4.5,11.11111111,1111.111111,woody
22,Low,A,C,122,DRASUB,Flower,50,6.025,8.298755187,829.8755187,woody
23,Low,A,R,122,DRASUB,Flower,50,5,10,1000,woody
24,Low,A,R,122,DRASUB,Flower,50,6.75,7.407407407,740.7407407,woody
25,Low,A,R,122,DRASUB,Flower,8,3,2.666666667,266.6666667,woody
26,Low,A,R,122,DRASUB,Flower,6,0.1,60,6000,woody
27,Low,A,R,104,DRASUB,Flower,2,7.5,0.266666667,26.6666667,woody
28,Low,A,C,122,DRASUB,Flower,100,12,8.333333333,833.3333333,woody
29,Low,A,C,138,DRASUB,Flower,100,14.5,6.896551724,689.6551724,woody
30,Low,A,C,122,DRASUB,Flower,100,15.33333333,6.52173913,652.173913,woody
31,Low,A,C,122,DRASUB,Flower,9,7,1.285714286,128.5714286,woody
32,Low,A,C,122,DRASUB,Flower,50,25.5,1.960784314,196.0784314,woody
10,Low,W,R,90,DROFRA,Flower,7,0.275,25.45454545,2545.454545,forb
14,Low,W,R,90,DROFRA,Flower,2,0.1,20,2000,forb
17,Low,W,C,90,DROFRA,Flower,2,0.05,40,4000,forb
19,Low,A,R,90,DROFRA,Flower,1,0.3,3.333333333,333.3333333,forb
22,Low,A,C,122,DROFRA,Flower,1,0.5,2,200,forb
25,Low,A,R,90,DROFRA,Flower,50,0.55,90.90909091,9090.909091,forb
4,Low,W,R,70,EPAALP,Flower,7,2.75,2.545454545,254.5454545,woody
7,Low,W,C,70,EPAALP,Flower,50,6,8.333333333,833.3333333,woody
8,Low,W,R,70,EPAALP,Flower,1,1.025,0.975609756,97.5609756,woody
11,Low,W,C,90,EPAALP,Flower,100,2.25,44.44444444,4444.444444,woody
12,Low,W,R,70,EPAALP,Flower,100,4.5,22.22222222,2222.222222,woody
13,Low,W,C,70,EPAALP,Flower,50,6.5,7.692307692,769.2307692,woody
14,Low,W,R,64,EPAALP,Flower,50,1,50,5000,woody
15,Low,W,C,70,EPAALP,Flower,50,1.025,48.7804878,4878.04878,woody
16,Low,W,R,70,EPAALP,Flower,200,7.5,26.66666667,2666.666667,woody
17,Low,W,C,64,EPAALP,Flower,5,0.25,20,2000,woody
19,Low,A,R,90,EPAALP,Flower,2,3,0.666666667,66.6666667,woody
21,Low,A,R,70,EPAALP,Flower,50,6.25,8,800,woody
25,Low,A,R,90,EPAALP,Flower,50,2.275,21.97802198,2197.802198,woody
3,Low,A,R,122,EUPCUN,Flower,2,0.05,40,4000,forb
8,Low,W,R,138,EUPCUN,Flower,6,0.3,20,2000,forb
13,Low,W,C,165,EUPCUN,Flower,2,0.05,40,4000,forb
14,Low,W,R,150,EUPCUN,Flower,2,0.1,20,2000,forb
16,Low,W,R,138,EUPCUN,Flower,4,0.3,13.33333333,1333.333333,forb
19,Low,A,R,138,EUPCUN,Flower,2,0.3,6.666666667,666.6666667,forb
23,Low,A,R,138,EUPCUN,Flower,2,0.05,40,4000,forb
24,Low,A,R,138,EUPCUN,Flower,1,0.025,40,4000,forb
27,Low,A,R,122,EUPCUN,Flower,3,0.05,60,6000,forb
29,Low,A,C,122,EUPCUN,Flower,6,0.25,24,2400,forb
31,Low,A,C,122,EUPCUN,Flower,1,0.05,20,2000,forb
21,Low,A,R,90,GAUCOL,Flower,1,2.275,0.43956044,43.956044,woody
1,Low,W,R,173,GONMIC,Flower,3,1.25,2.4,240,forb
16,Low,W,R,150,HAIRY ROSETTE,Flower,50,1.525,32.78688525,3278.688525,forb
20,Low,A,C,138,HEBTET,Flower,50,7.525,6.644518272,664.4518272,woody
24,Low,A,R,122,HEBTET,Flower,10,2.25,4.444444444,444.4444444,woody
29,Low,A,C,122,HEBTET,Flower,50,3.75,13.33333333,1333.333333,woody
31,Low,A,C,138,HEBTET,Flower,5,2.75,1.818181818,181.8181818,woody
32,Low,A,C,122,HEBTET,Flower,6,5,1.2,120,woody
10,Low,W,R,122,HEBVEN,Flower,6,0.525,11.42857143,1142.857143,woody
11,Low,W,C,150,HEBVEN,Flower,50,0.5,100,10000,woody
29,Low,A,C,138,HEBVEN,Flower,2,2.275,0.879120879,87.9120879,woody
23,Low,A,R,122,LEPSCO,Flower,5,3.5,1.428571429,142.8571429,woody
31,Low,A,C,90,LEPSCO,Flower,1,0.75,1.333333333,133.3333333,woody
11,Low,W,C,70,LEUFRA,Flower,1,0.325,3.076923077,307.6923077,woody
8,Low,W,R,104,ORCHID,Flower,1,0.025,40,4000,forb
13,Low,W,C,104,ORCHID,Flower,1,0.05,20,2000,forb
16,Low,W,R,104,ORCHID,Flower,1,0.025,40,4000,forb
3,Low,A,R,165,OZOLEP,Flower,1,0.275,3.636363636,363.6363636,woody
11,Low,W,C,150,OZOLEP,Flower,50,1.75,28.57142857,2857.142857,woody
12,Low,W,R,122,OZOLEP,Flower,50,1.025,48.7804878,4878.04878,woody
15,Low,W,C,150,OZOLEP,Flower,3,4.25,0.705882353,70.5882353,woody
16,Low,W,R,150,OZOLEP,Flower,1,0.025,40,4000,woody
17,Low,W,C,150,OZOLEP,Flower,50,3.25,15.38461538,1538.461538,woody
18,Low,A,C,150,OZOLEP,Flower,50,3,16.66666667,1666.666667,woody
20,Low,A,C,150,OZOLEP,Flower,4,1.25,3.2,320,woody
22,Low,A,C,187,OZOLEP,Flower,7,1,7,700,woody
23,Low,A,R,138,OZOLEP,Flower,50,1.525,32.78688525,3278.688525,woody
27,Low,A,R,138,OZOLEP,Flower,50,3.75,13.33333333,1333.333333,woody
28,Low,A,C,150,OZOLEP,Flower,3,1.25,2.4,240,woody
29,Low,A,C,150,OZOLEP,Flower,2,0.5,4,400,woody
30,Low,A,C,150,OZOLEP,Flower,4,0.325,12.30769231,1230.769231,woody
32,Low,A,C,138,OZOLEP,Flower,1,1,1,100,woody
4,Low,W,R,122,PENPUM,Flower,5,3.25,1.538461538,153.8461538,woody
5,Low,W,R,122,PENPUM,Flower,50,6.75,7.407407407,740.7407407,woody
7,Low,W,C,122,PENPUM,Flower,3,3,1,100,woody
10,Low,W,R,122,PENPUM,Flower,5,1.525,3.278688525,327.8688525,woody
11,Low,W,C,138,PENPUM,Flower,2,0.75,2.666666667,266.6666667,woody
12,Low,W,R,90,PENPUM,Flower,3,1.05,2.857142857,285.7142857,woody
13,Low,W,C,104,PENPUM,Flower,3,3.5,0.857142857,85.7142857,woody
15,Low,W,C,122,PENPUM,Flower,2,0.275,7.272727273,727.2727273,woody
18,Low,A,C,122,PENPUM,Flower,5,1.25,4,400,woody
19,Low,A,R,165,PENPUM,Flower,1,1.025,0.975609756,97.5609756,woody
20,Low,A,C,138,PENPUM,Flower,50,4.25,11.76470588,1176.470588,woody
24,Low,A,R,104,PENPUM,Flower,50,3.75,13.33333333,1333.333333,woody
25,Low,A,R,122,PENPUM,Flower,2,0.275,7.272727273,727.2727273,woody
27,Low,A,R,138,PENPUM,Flower,6,4.25,1.411764706,141.1764706,woody
28,Low,A,C,122,PENPUM,Flower,9,2.5,3.6,360,woody
29,Low,A,C,104,PENPUM,Flower,50,5.75,8.695652174,869.5652174,woody
31,Low,A,C,122,PENPUM,Flower,3,1.5,2,200,woody
32,Low,A,C,138,PENPUM,Flower,2,2.5,0.8,80,woody
3,Low,A,R,64,PIMHIR,Flower,1,0.025,40,4000,woody
8,Low,W,R,64,PIMHIR,Flower,1,0.25,4,400,woody
11,Low,W,C,64,PIMHIR,Flower,7,0.325,21.53846154,2153.846154,woody
16,Low,W,R,64,PIMHIR,Flower,5,0.25,20,2000,woody
30,Low,A,C,70,PIMHIR,Flower,2,0.275,7.272727273,727.2727273,woody
3,Low,A,R,104,WAHPYG,Flower,1,0.775,1.290322581,129.0322581,forb
4,Low,W,R,187,WAHPYG,Flower,2,0.75,2.666666667,266.6666667,forb
5,Low,W,R,104,WAHPYG,Flower,4,2.25,1.777777778,177.7777778,forb
6,Low,W,C,104,WAHPYG,Flower,2,3.525,0.567375887,56.7375887,forb
12,Low,W,R,104,WAHPYG,Flower,5,0.55,9.090909091,909.0909091,forb
13,Low,W,C,104,WAHPYG,Flower,1,1.275,0.784313725,78.4313725,forb
14,Low,W,R,90,WAHPYG,Flower,2,1,2,200,forb
15,Low,W,C,104,WAHPYG,Flower,1,0.525,1.904761905,190.4761905,forb
17,Low,W,C,90,WAHPYG,Flower,1,0.8,1.25,125,forb
19,Low,A,R,122,WAHPYG,Flower,2,1.5,1.333333333,133.3333333,forb
20,Low,A,C,104,WAHPYG,Flower,1,0.575,1.739130435,173.9130435,forb
21,Low,A,R,104,WAHPYG,Flower,1,2.25,0.444444444,44.4444444,forb
25,Low,A,R,122,WAHPYG,Flower,2,0.275,7.272727273,727.2727273,forb
27,Low,A,R,104,WAHPYG,Flower,1,0.775,1.290322581,129.0322581,forb
29,Low,A,C,104,WAHPYG,Flower,3,1.75,1.714285714,171.4285714,forb
