Trial,Sample,Treatment,Number of seeds,Notes,weight,Ht (mm),diam (mm),Flower number on shrub at pollination,Average number of flowers on 25m transect,Proportion native,Date,Latitude,Longitude
5,5H2,H,8,,0.0025,950,1010,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N4,N,6,,0.0033,670,370,100,77,1,26th January 2018,-39.190077,175.75959
12,12H1,H,6,5 ON BAG 6 FOUND,0.0024,490,490,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12H2,H,5,,0.0026,770,1450,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N3,N,6,,0.0038,770,1030,0,2043.75,0.198431388,#N/A,#N/A,#N/A
12,12H3,H,4,,0.0018,850,770,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,1.20E+04,E,4,,0.0025,600,1280,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N1,N,9,,0.0023,630,430,0,7991.75,0.005787078,#N/A,#N/A,#N/A
12,1.20E+02,E,10,,0.0024,760,520,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N2,N,8,,0.0017,720,910,0,6751.25,0.003218389,#N/A,#N/A,#N/A
9,9N3,N,8,9 BUT LOST ONE,0.0022,1040,480,0,120.75,1,8th February 2018,-39.209008,175.74695
9,9H2,H,10,,0.0029,590,500,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N2,N,6,,0.0031,930,780,0,142,1,8th February 2018,-39.209008,175.74695
9,9.00E+01,E,6,,0.0019,760,1140,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H3,H,8,,0.0032,910,680,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9.00E+02,E,7,8 BUT 1 DROPPED,0.0017,860,520,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9.00E+03,E,7,,0.0023,1270,320,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H1,H,10,,0.0025,670,1130,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N1,N,10,,0.0021,530,740,0,236.75,0.988888889,8th February 2018,-39.209008,175.74695
4,4.00E+01,E,7,,0.0027,860,1200,1000,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N3,N,9,,0.0025,770,700,200,5521,1,26th January 2018,-39.208999,175.74733
4,4H3,H,5,,0.0036,880,480,1000,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4.00E+03,E,7,,0.0035,530,340,50,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N1,N,10,11 BUT DROPPPED ONE,0.0016,780,900,200,3749.25,1,26th January 2018,-39.208999,175.74733
4,4H1,H,9,,0.0053,780,1380,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4.00E+02,E,11,,0.002,720,400,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4H2,H,11,,0.0043,640,820,100,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N2,N,9,,0.0034,670,870,200,805,1,26th January 2018,-39.208999,175.74733
7,7.00E+03,E,6,,0.0013,800,1520,50,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H1,H,8,,0.0022,660,1040,10,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+01,E,9,,0.0012,630,600,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+02,E,7,8 BUT ONE DROPPPED,0.0018,670,1140,200,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H3,H,9,,0.0029,480,470,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N3,N,9,,0.0015,1030,1450,10000,33.5,1,2nd February 2018,-39.190918,175.75616
7,7H2,H,9,,0.0021,540,850,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N1,N,8,,0.0024,730,420,50,30,1,2nd February 2018,-39.190918,175.75616
7,7N2,N,9,10 BUT DROPPED ONE,0.0029,720,870,100,5.25,1,2nd February 2018,-39.190918,175.75616
6,6N3,N,9,,0.0021,760,730,100,4846.5,0.004377957,2nd February 2018,-39.246393,175.72854
6,6H3,H,8,9 BUT 8 FOUND,0.0046,670,680,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N2,N,8,,0.0017,520,450,200,6629,0.002009092,2nd February 2018,-39.246393,175.72854
6,6.00E+02,E,8,,0.003,780,880,200,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+01,E,8,,0.0023,500,550,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+03,E,7,9 BUT 2 LOST,0.0013,840,610,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N1,N,9,,0.0039,1370,720,200,5153.25,0.010144683,2nd February 2018,-39.246393,175.72854
6,6H2,H,6,,0.0025,1020,860,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
10,1.00E+04,E,7,,0.0013,0,0,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10H2,H,5,6 BUT 1 LOST,0.0033,620,780,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N3,N,8,,0.002,650,1030,0,631.25,0.474718211,8th February 2018,-39.208923,175.74728
3,3H2,H,5,,0.0026,950,1560,10000,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3.00E+03,E,10,,0.0026,680,760,200,#N/A,#N/A,24th January 2018,-39.244746,175.73156
10,10H3,H,8,,0.0036,850,780,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,1.00E+03,E,8,,0.0025,440,450,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N2,N,10,,0.0029,970,1050,0,573.75,0.766763848,8th February 2018,-39.208923,175.74728
10,10N1,N,9,,0.0019,610,990,0,2750.5,0.985976591,8th February 2018,-39.208923,175.74728
10,1.00E+02,E,9,,0.0032,1320,1000,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
3,3H1,H,6,,0.006,530,640,50,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3.00E+02,E,7,,0.0012,530,530,100,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3H3,H,6,,0.004,670,920,500,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3N1,N,7,,0.0029,1100,1730,10000,10304.75,0.042530397,24th January 2018,-39.244746,175.73156
3,3N2,N,6,,0.0029,840,1280,500,9156.5,0.237822261,24th January 2018,-39.244746,175.73156
3,3N3,N,9,,0.0035,550,650,500,1257.666667,0.84732547,24th January 2018,-39.244746,175.73156
1,1N2,N,8,,0.0057,630,430,50,7909.75,0.512386468,24th January 2018,-39.191417,175.7611
1,1N3,N,5,,0.0022,405,580,20,145.25,0.861878453,24th January 2018,-39.191417,175.7611
1,1.00E+02,E,6,,0.0023,490,320,20,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1H1,H,8,,0.0018,340,540,500,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1N1,N,7,,0.0016,570,680,50,110.75,1,24th January 2018,-39.191417,175.7611
P12,P12H3,H,8,8 FOUND. 9 ON BAG,0.0014,550,400,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12E1,E,8,,0.001,0,0,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12H2,H,8,,0.0009,550,750,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
8,8N1,N,6,,0.0042,650,740,0,4454,0.093483634,8th February 2018,-39.243987,175.73228
8,8.00E+03,E,7,,0.0024,820,320,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8N1,N,8,8 FOUND 7 ON BAG,0.0035,650,740,0,4454,0.093483634,8th February 2018,-39.243987,175.73228
8,8N2,N,8,,0.0051,820,780,0,4151.5,0.476667572,8th February 2018,-39.243987,175.73228
8,8.00E+02,E,6,7 BUT DROPPED ONE,0.0021,540,520,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8H3,H,6,,0.0031,860,680,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8.00E+01,E,7,8 BUT DROPPED ONE,0.0021,650,1140,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8H2,H,5,,0.0014,600,500,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8N3,N,10,,0.0032,490,480,0,9231.25,0.01518269,8th February 2018,-39.243987,175.73228
2,2N3,N,5,6 BUT ONE LOST,0.0017,640,620,50,499.75,1,24th January 2018,-39.190239,175.75593
2,2N2,N,8,,0.0032,660,870,1000,446.25,1,24th January 2018,-39.190239,175.75593
2,2.00E+02,E,7,,0.0014,810,460,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2H2,H,6,,0.0035,670,1010,100,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2H1,H,7,,0.0042,640,1260,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2N1,N,8,,0.0018,610,1240,50,218.75,1,24th January 2018,-39.190239,175.75593
2,2H3,H,8,,0.0021,640,680,100,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2.00E+03,E,8,,0.0027,760,600,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2.00E+01,E,7,,0.0014,420,470,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
5,5N1,N,6,,0.0023,770,970,500,141.25,1,26th January 2018,-39.190077,175.75959
5,5N5,N,4,,0.002,720,620,500,268.25,1,26th January 2018,-39.190077,175.75959
5,5.00E+01,E,8,9 ON BAG. 8 FOUND,0.002,460,400,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N3,N,8,,0.0027,760,660,50,161.25,0.879807692,26th January 2018,-39.190077,175.75959
5,5.00E+02,E,6,,0.0018,560,610,1000,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N2,N,6,,0.0043,360,340,20,2668.5,0.751910291,26th January 2018,-39.190077,175.75959
5,5H1,H,4,,0.0019,860,500,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5H2,H,8,,0.0038,950,1010,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N4,N,6,,0.0025,670,370,100,77,1,26th January 2018,-39.190077,175.75959
12,12H1,H,6,5 ON BAG 6 FOUND,0.0021,490,490,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12H2,H,5,,0.003,770,1450,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N3,N,6,,0.0036,770,1030,0,2043.75,0.198431388,#N/A,#N/A,#N/A
12,12H3,H,4,,0.0015,850,770,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,1.20E+04,E,4,,0.0019,600,1280,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N1,N,9,,0.0019,630,430,0,7991.75,0.005787078,#N/A,#N/A,#N/A
12,1.20E+02,E,10,,0.0012,760,520,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N2,N,8,,0.0031,720,910,0,6751.25,0.003218389,#N/A,#N/A,#N/A
9,9N3,N,8,9 BUT LOST ONE,0.0017,1040,480,0,120.75,1,8th February 2018,-39.209008,175.74695
9,9H2,H,10,,0.0036,590,500,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N2,N,6,,0.003,930,780,0,142,1,8th February 2018,-39.209008,175.74695
9,9.00E+01,E,6,,0.0013,760,1140,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H3,H,8,,0.0038,910,680,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9.00E+02,E,7,8 BUT 1 DROPPED,0.0023,860,520,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9.00E+03,E,7,,0.0015,1270,320,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H1,H,10,,0.0027,670,1130,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N1,N,10,,0.001,530,740,0,236.75,0.988888889,8th February 2018,-39.209008,175.74695
4,4.00E+01,E,7,,0.0011,860,1200,1000,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N3,N,9,,0.0039,770,700,200,5521,1,26th January 2018,-39.208999,175.74733
4,4H3,H,5,,0.0026,880,480,1000,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4.00E+03,E,7,,0.0038,530,340,50,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N1,N,10,11 BUT DROPPPED ONE,0.003,780,900,200,3749.25,1,26th January 2018,-39.208999,175.74733
4,4H1,H,9,,0.0028,780,1380,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4.00E+02,E,11,,0.0027,720,400,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4H2,H,11,,0.0039,640,820,100,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N2,N,9,,0.0039,670,870,200,805,1,26th January 2018,-39.208999,175.74733
7,7.00E+03,E,6,,0.0015,800,1520,50,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H1,H,8,,0.0032,660,1040,10,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+01,E,9,,0.0022,630,600,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+02,E,7,8 BUT ONE DROPPPED,0.0015,670,1140,200,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H3,H,9,,0.0021,480,470,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N3,N,9,,0.0014,1030,1450,10000,33.5,1,2nd February 2018,-39.190918,175.75616
7,7H2,H,9,,0.0034,540,850,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N1,N,8,,0.0025,730,420,50,30,1,2nd February 2018,-39.190918,175.75616
7,7N2,N,9,10 BUT DROPPED ONE,0.0034,720,870,100,5.25,1,2nd February 2018,-39.190918,175.75616
6,6N3,N,9,,0.0015,760,730,100,4846.5,0.004377957,2nd February 2018,-39.246393,175.72854
6,6H3,H,8,9 BUT 8 FOUND,0.0041,670,680,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N2,N,8,,0.0034,520,450,200,6629,0.002009092,2nd February 2018,-39.246393,175.72854
6,6.00E+02,E,8,,0.0022,780,880,200,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+01,E,8,,0.0016,500,550,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+03,E,7,9 BUT 2 LOST,0.0026,840,610,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N1,N,9,,0.0032,1370,720,200,5153.25,0.010144683,2nd February 2018,-39.246393,175.72854
6,6H2,H,6,,0.0039,1020,860,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
10,1.00E+04,E,7,,0.0011,0,0,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10H2,H,5,6 BUT 1 LOST,0.0018,620,780,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N3,N,8,,0.0018,650,1030,0,631.25,0.474718211,8th February 2018,-39.208923,175.74728
3,3H2,H,5,,0.0029,950,1560,10000,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3.00E+03,E,10,,0.0029,680,760,200,#N/A,#N/A,24th January 2018,-39.244746,175.73156
10,10H3,H,8,,0.0055,850,780,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,1.00E+03,E,8,,0.0017,440,450,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N2,N,10,,0.0019,970,1050,0,573.75,0.766763848,8th February 2018,-39.208923,175.74728
10,10N1,N,9,,0.0015,610,990,0,2750.5,0.985976591,8th February 2018,-39.208923,175.74728
10,1.00E+02,E,9,,0.0018,1320,1000,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
3,3H1,H,6,,0.0032,530,640,50,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3.00E+02,E,7,,0.0019,530,530,100,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3H3,H,6,,0.0039,670,920,500,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3N1,N,7,,0.0023,1100,1730,10000,10304.75,0.042530397,24th January 2018,-39.244746,175.73156
3,3N2,N,6,,0.0022,840,1280,500,9156.5,0.237822261,24th January 2018,-39.244746,175.73156
3,3N3,N,9,,0.003,550,650,500,1257.666667,0.84732547,24th January 2018,-39.244746,175.73156
1,1N2,N,8,,0.0045,630,430,50,7909.75,0.512386468,24th January 2018,-39.191417,175.7611
1,1N3,N,5,,0.0023,405,580,20,145.25,0.861878453,24th January 2018,-39.191417,175.7611
1,1.00E+02,E,6,,0.003,490,320,20,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1H1,H,8,,0.0017,340,540,500,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1N1,N,7,,0.0017,570,680,50,110.75,1,24th January 2018,-39.191417,175.7611
P12,P12N2,E,7,7 FOUND. 8 ON BAG,0.0023,550,580,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12H3,H,8,8 FOUND. 9 ON BAG,0.0013,550,400,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12E1,E,8,,0.0013,0,0,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12H2,H,8,,0.0014,550,750,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
8,8N1,N,6,,0.0031,650,740,0,4454,0.093483634,8th February 2018,-39.243987,175.73228
8,8.00E+03,E,7,,0.0013,820,320,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8N1,N,8,8 FOUND 7 ON BAG,0.0019,650,740,0,4454,0.093483634,8th February 2018,-39.243987,175.73228
8,8N2,N,8,,0.0038,820,780,0,4151.5,0.476667572,8th February 2018,-39.243987,175.73228
8,8.00E+02,E,6,7 BUT DROPPED ONE,0.0007,540,520,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8H3,H,6,,0.0018,860,680,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8.00E+01,E,7,8 BUT DROPPED ONE,0.0018,650,1140,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8H2,H,5,,0.0024,600,500,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8N3,N,10,,0.0036,490,480,0,9231.25,0.01518269,8th February 2018,-39.243987,175.73228
2,2N3,N,5,6 BUT ONE LOST,0.0033,640,620,50,499.75,1,24th January 2018,-39.190239,175.75593
2,2N2,N,8,,0.0043,660,870,1000,446.25,1,24th January 2018,-39.190239,175.75593
2,2.00E+02,E,7,,0.0032,810,460,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2H2,H,6,,0.0033,670,1010,100,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2H1,H,7,,0.0017,640,1260,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2N1,N,8,,0.0028,610,1240,50,218.75,1,24th January 2018,-39.190239,175.75593
2,2H3,H,8,,0.0031,640,680,100,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2.00E+03,E,8,,0.0021,760,600,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2.00E+01,E,7,,0.0013,420,470,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
5,5N1,N,6,,0.0013,770,970,500,141.25,1,26th January 2018,-39.190077,175.75959
5,5.00E+01,E,8,9 ON BAG. 8 FOUND,0.0042,460,400,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N3,N,8,,0.0014,760,660,50,161.25,0.879807692,26th January 2018,-39.190077,175.75959
5,5.00E+02,E,6,,0.0016,560,610,1000,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N2,N,6,,0.0031,360,340,20,2668.5,0.751910291,26th January 2018,-39.190077,175.75959
5,5H2,H,8,,0.0031,950,1010,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N4,N,6,,0.0041,670,370,100,77,1,26th January 2018,-39.190077,175.75959
12,12H1,H,6,5 ON BAG 6 FOUND,0.0017,490,490,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12H2,H,5,,0.0026,770,1450,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N3,N,6,,0.0013,770,1030,0,2043.75,0.198431388,#N/A,#N/A,#N/A
12,12N1,N,9,,0.0036,630,430,0,7991.75,0.005787078,#N/A,#N/A,#N/A
12,1.20E+02,E,10,,0.0018,760,520,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N2,N,8,,0.0031,720,910,0,6751.25,0.003218389,#N/A,#N/A,#N/A
9,9N3,N,8,9 BUT LOST ONE,0.0019,1040,480,0,120.75,1,8th February 2018,-39.209008,175.74695
9,9H2,H,10,,0.0026,590,500,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N2,N,6,,0.0017,930,780,0,142,1,8th February 2018,-39.209008,175.74695
9,9.00E+01,E,6,,0.001,760,1140,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H3,H,8,,0.0037,910,680,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9.00E+02,E,7,8 BUT 1 DROPPED,0.0023,860,520,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9.00E+03,E,7,,0.0013,1270,320,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H1,H,10,,0.0033,670,1130,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N1,N,10,,0.0013,530,740,0,236.75,0.988888889,8th February 2018,-39.209008,175.74695
4,4.00E+01,E,7,,0.0034,860,1200,1000,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N3,N,9,,0.0026,770,700,200,5521,1,26th January 2018,-39.208999,175.74733
4,4H3,H,5,,0.0036,880,480,1000,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4.00E+03,E,7,,0.0045,530,340,50,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N1,N,10,11 BUT DROPPPED ONE,0.003,780,900,200,3749.25,1,26th January 2018,-39.208999,175.74733
4,4H1,H,9,,0.0053,780,1380,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4.00E+02,E,11,,0.0041,720,400,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4H2,H,11,,0.0038,640,820,100,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N2,N,9,,0.0025,670,870,200,805,1,26th January 2018,-39.208999,175.74733
7,7.00E+03,E,6,,0.0012,800,1520,50,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H1,H,8,,0.0029,660,1040,10,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+01,E,9,,0.0027,630,600,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+02,E,7,8 BUT ONE DROPPPED,0.0022,670,1140,200,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H3,H,9,,0.0016,480,470,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N3,N,9,,0.002,1030,1450,10000,33.5,1,2nd February 2018,-39.190918,175.75616
7,7H2,H,9,,0.0049,540,850,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N1,N,8,,0.0024,730,420,50,30,1,2nd February 2018,-39.190918,175.75616
7,7N2,N,9,10 BUT DROPPED ONE,0.0036,720,870,100,5.25,1,2nd February 2018,-39.190918,175.75616
6,6N3,N,9,,0.0022,760,730,100,4846.5,0.004377957,2nd February 2018,-39.246393,175.72854
6,6H3,H,8,9 BUT 8 FOUND,0.0047,670,680,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N2,N,8,,0.0027,520,450,200,6629,0.002009092,2nd February 2018,-39.246393,175.72854
6,6.00E+02,E,8,,0.002,780,880,200,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+01,E,8,,0.0025,500,550,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+03,E,7,9 BUT 2 LOST,0.002,840,610,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N1,N,9,,0.0048,1370,720,200,5153.25,0.010144683,2nd February 2018,-39.246393,175.72854
6,6H2,H,6,,0.0028,1020,860,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
10,1.00E+04,E,7,,0.001,0,0,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10H2,H,5,6 BUT 1 LOST,0.0015,620,780,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N3,N,8,,0.0023,650,1030,0,631.25,0.474718211,8th February 2018,-39.208923,175.74728
3,3H2,H,5,,0.0043,950,1560,10000,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3.00E+03,E,10,,0.0021,680,760,200,#N/A,#N/A,24th January 2018,-39.244746,175.73156
10,10H3,H,8,,0.0037,850,780,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,1.00E+03,E,8,,0.0025,440,450,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N2,N,10,,0.0033,970,1050,0,573.75,0.766763848,8th February 2018,-39.208923,175.74728
10,10N1,N,9,,0.0017,610,990,0,2750.5,0.985976591,8th February 2018,-39.208923,175.74728
10,1.00E+02,E,9,,0.0031,1320,1000,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
