Trial,Sample,Treatment,Number of seeds,Notes,weight,Ht (mm),diam (mm),Flower number on shrub at pollination,Average number of flowers on 25m transect,Proportion native,Date,Latitude,Longitude
3,3H1,H,6,,0.0067,530,640,50,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3.00E+02,E,7,,0.0025,530,530,100,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3H3,H,6,,0.004,670,920,500,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3N1,N,7,,0.0022,1100,1730,10000,10304.75,0.042530397,24th January 2018,-39.244746,175.73156
3,3N2,N,6,,0.0022,840,1280,500,9156.5,0.237822261,24th January 2018,-39.244746,175.73156
3,3N3,N,9,,0.0038,550,650,500,1257.666667,0.84732547,24th January 2018,-39.244746,175.73156
1,1N2,N,8,,0.0027,630,430,50,7909.75,0.512386468,24th January 2018,-39.191417,175.7611
1,1.00E+02,E,6,,0.003,490,320,20,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1H1,H,8,,0.0036,340,540,500,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1N1,N,7,,0.0027,570,680,50,110.75,1,24th January 2018,-39.191417,175.7611
P12,P12N2,E,7,7 FOUND. 8 ON BAG,0.0019,550,580,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12H3,H,8,8 FOUND. 9 ON BAG,0.0014,550,400,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12E1,E,8,,0.0017,0,0,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12H2,H,8,,0.0011,550,750,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
8,8N1,N,6,,0.0015,650,740,0,4454,0.093483634,8th February 2018,-39.243987,175.73228
8,8.00E+03,E,7,,0.0015,820,320,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8N1,N,8,8 FOUND 7 ON BAG,0.002,650,740,0,4454,0.093483634,8th February 2018,-39.243987,175.73228
8,8N2,N,8,,0.0037,820,780,0,4151.5,0.476667572,8th February 2018,-39.243987,175.73228
8,8.00E+02,E,6,7 BUT DROPPED ONE,0.0009,540,520,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8H3,H,6,,0.0039,860,680,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8.00E+01,E,7,8 BUT DROPPED ONE,0.0028,650,1140,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8N3,N,10,,0.0044,490,480,0,9231.25,0.01518269,8th February 2018,-39.243987,175.73228
2,2N2,N,8,,0.0043,660,870,1000,446.25,1,24th January 2018,-39.190239,175.75593
2,2.00E+02,E,7,,0.0015,810,460,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2H2,H,6,,0.0036,670,1010,100,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2H1,H,7,,0.0023,640,1260,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2N1,N,8,,0.0018,610,1240,50,218.75,1,24th January 2018,-39.190239,175.75593
2,2H3,H,8,,0.0013,640,680,100,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2.00E+03,E,8,,0.0018,760,600,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2.00E+01,E,7,,0.0017,420,470,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
5,5N1,N,6,,0.002,770,970,500,141.25,1,26th January 2018,-39.190077,175.75959
5,5.00E+01,E,8,9 ON BAG. 8 FOUND,0.0034,460,400,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N3,N,8,,0.0018,760,660,50,161.25,0.879807692,26th January 2018,-39.190077,175.75959
5,5.00E+02,E,6,,0.0024,560,610,1000,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N2,N,6,,0.0022,360,340,20,2668.5,0.751910291,26th January 2018,-39.190077,175.75959
5,5H2,H,8,,0.0013,950,1010,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N4,N,6,,0.0025,670,370,100,77,1,26th January 2018,-39.190077,175.75959
12,12H1,H,6,5 ON BAG 6 FOUND,0.0011,490,490,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N3,N,6,,0.0018,770,1030,0,2043.75,0.198431388,#N/A,#N/A,#N/A
12,12N1,N,9,,0.0014,630,430,0,7991.75,0.005787078,#N/A,#N/A,#N/A
12,1.20E+02,E,10,,0.0019,760,520,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N2,N,8,,0.0022,720,910,0,6751.25,0.003218389,#N/A,#N/A,#N/A
9,9N3,N,8,9 BUT LOST ONE,0.0021,1040,480,0,120.75,1,8th February 2018,-39.209008,175.74695
9,9H2,H,10,,0.002,590,500,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N2,N,6,,0.0036,930,780,0,142,1,8th February 2018,-39.209008,175.74695
9,9H3,H,8,,0.0025,910,680,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9.00E+02,E,7,8 BUT 1 DROPPED,0.0015,860,520,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9.00E+03,E,7,,0.0024,1270,320,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H1,H,10,,0.0032,670,1130,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N1,N,10,,0.0018,530,740,0,236.75,0.988888889,8th February 2018,-39.209008,175.74695
4,4.00E+01,E,7,,0.0022,860,1200,1000,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N3,N,9,,0.0039,770,700,200,5521,1,26th January 2018,-39.208999,175.74733
4,4.00E+03,E,7,,0.0024,530,340,50,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N1,N,10,11 BUT DROPPPED ONE,0.0042,780,900,200,3749.25,1,26th January 2018,-39.208999,175.74733
4,4H1,H,9,,0.0056,780,1380,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4.00E+02,E,11,,0.0016,720,400,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4H2,H,11,,0.0032,640,820,100,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N2,N,9,,0.0034,670,870,200,805,1,26th January 2018,-39.208999,175.74733
7,7.00E+03,E,6,,0.002,800,1520,50,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H1,H,8,,0.0037,660,1040,10,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+01,E,9,,0.0021,630,600,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+02,E,7,8 BUT ONE DROPPPED,0.0025,670,1140,200,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H3,H,9,,0.0023,480,470,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N3,N,9,,0.0022,1030,1450,10000,33.5,1,2nd February 2018,-39.190918,175.75616
7,7H2,H,9,,0.0043,540,850,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N1,N,8,,0.0031,730,420,50,30,1,2nd February 2018,-39.190918,175.75616
7,7N2,N,9,10 BUT DROPPED ONE,0.002,720,870,100,5.25,1,2nd February 2018,-39.190918,175.75616
6,6N3,N,9,,0.0047,760,730,100,4846.5,0.004377957,2nd February 2018,-39.246393,175.72854
6,6H3,H,8,9 BUT 8 FOUND,0.0033,670,680,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N2,N,8,,0.002,520,450,200,6629,0.002009092,2nd February 2018,-39.246393,175.72854
6,6.00E+02,E,8,,0.0021,780,880,200,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+01,E,8,,0.0032,500,550,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+03,E,7,9 BUT 2 LOST,0.0013,840,610,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N1,N,9,,0.003,1370,720,200,5153.25,0.010144683,2nd February 2018,-39.246393,175.72854
6,6H2,H,6,,0.0039,1020,860,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
10,1.00E+04,E,7,,0.0009,0,0,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N3,N,8,,0.0016,650,1030,0,631.25,0.474718211,8th February 2018,-39.208923,175.74728
3,3.00E+03,E,10,,0.0024,680,760,200,#N/A,#N/A,24th January 2018,-39.244746,175.73156
10,10H3,H,8,,0.0031,850,780,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,1.00E+03,E,8,,0.0023,440,450,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N2,N,10,,0.0019,970,1050,0,573.75,0.766763848,8th February 2018,-39.208923,175.74728
10,10N1,N,9,,0.0021,610,990,0,2750.5,0.985976591,8th February 2018,-39.208923,175.74728
10,1.00E+02,E,9,,0.0017,1320,1000,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
3,3H1,H,6,,0.0027,530,640,50,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3.00E+02,E,7,,0.0008,530,530,100,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3H3,H,6,,0.0039,670,920,500,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3N1,N,7,,0.0026,1100,1730,10000,10304.75,0.042530397,24th January 2018,-39.244746,175.73156
3,3N2,N,6,,0.0018,840,1280,500,9156.5,0.237822261,24th January 2018,-39.244746,175.73156
3,3N3,N,9,,0.0026,550,650,500,1257.666667,0.84732547,24th January 2018,-39.244746,175.73156
1,1N2,N,8,,0.0054,630,430,50,7909.75,0.512386468,24th January 2018,-39.191417,175.7611
1,1H1,H,8,,0.0026,340,540,500,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1N1,N,7,,0.0025,570,680,50,110.75,1,24th January 2018,-39.191417,175.7611
P12,P12H3,H,8,8 FOUND. 9 ON BAG,0.001,550,400,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12E1,E,8,,0.0019,0,0,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12H2,H,8,,0.0011,550,750,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
8,8.00E+03,E,7,,0.0019,820,320,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8N1,N,8,8 FOUND 7 ON BAG,0.0022,650,740,0,4454,0.093483634,8th February 2018,-39.243987,175.73228
8,8N2,N,8,,0.0037,820,780,0,4151.5,0.476667572,8th February 2018,-39.243987,175.73228
8,8.00E+01,E,7,8 BUT DROPPED ONE,0.0017,650,1140,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8N3,N,10,,0.0026,490,480,0,9231.25,0.01518269,8th February 2018,-39.243987,175.73228
2,2N2,N,8,,0.0033,660,870,1000,446.25,1,24th January 2018,-39.190239,175.75593
2,2.00E+02,E,7,,0.0014,810,460,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2H1,H,7,,0.0013,640,1260,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2N1,N,8,,0.0037,610,1240,50,218.75,1,24th January 2018,-39.190239,175.75593
2,2H3,H,8,,0.0014,640,680,100,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2.00E+03,E,8,,0.0024,760,600,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
5,5.00E+01,E,8,9 ON BAG. 8 FOUND,0.0018,460,400,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N3,N,8,,0.0023,760,660,50,161.25,0.879807692,26th January 2018,-39.190077,175.75959
5,5H2,H,8,,0.0026,950,1010,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
12,12N3,N,6,,0.0033,770,1030,0,2043.75,0.198431388,#N/A,#N/A,#N/A
12,12N1,N,9,,0.0028,630,430,0,7991.75,0.005787078,#N/A,#N/A,#N/A
12,1.20E+02,E,10,,0.0028,760,520,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N2,N,8,,0.0018,720,910,0,6751.25,0.003218389,#N/A,#N/A,#N/A
9,9N3,N,8,9 BUT LOST ONE,0.0022,1040,480,0,120.75,1,8th February 2018,-39.209008,175.74695
9,9H2,H,10,,0.00165,590,500,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H3,H,8,,0.0013,910,680,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9.00E+02,E,7,8 BUT 1 DROPPED,0.0026,860,520,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9.00E+03,E,7,,0.0031,1270,320,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H1,H,10,,0.0015,670,1130,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N1,N,10,,0.003,530,740,0,236.75,0.988888889,8th February 2018,-39.209008,175.74695
4,4.00E+01,E,7,,0.0028,860,1200,1000,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N3,N,9,,0.0026,770,700,200,5521,1,26th January 2018,-39.208999,175.74733
4,4.00E+03,E,7,,0.0022,530,340,50,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N1,N,10,11 BUT DROPPPED ONE,0.0041,780,900,200,3749.25,1,26th January 2018,-39.208999,175.74733
4,4H1,H,9,,0.0021,780,1380,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4.00E+02,E,11,,0.0025,720,400,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4H2,H,11,,0.0056,640,820,100,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N2,N,9,,0.0037,670,870,200,805,1,26th January 2018,-39.208999,175.74733
7,7H1,H,8,,0.0019,660,1040,10,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+01,E,9,,0.0007,630,600,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+02,E,7,8 BUT ONE DROPPPED,0.0027,670,1140,200,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H3,H,9,,0.0017,480,470,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N3,N,9,,0.0022,1030,1450,10000,33.5,1,2nd February 2018,-39.190918,175.75616
7,7H2,H,9,,0.0027,540,850,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N1,N,8,,0.0043,730,420,50,30,1,2nd February 2018,-39.190918,175.75616
7,7N2,N,9,10 BUT DROPPED ONE,0.0029,720,870,100,5.25,1,2nd February 2018,-39.190918,175.75616
6,6N3,N,9,,0.0041,760,730,100,4846.5,0.004377957,2nd February 2018,-39.246393,175.72854
6,6H3,H,8,9 BUT 8 FOUND,0.0034,670,680,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N2,N,8,,0.002,520,450,200,6629,0.002009092,2nd February 2018,-39.246393,175.72854
6,6.00E+02,E,8,,0.0011,780,880,200,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+01,E,8,,0.0021,500,550,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+03,E,7,9 BUT 2 LOST,0.0013,840,610,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N1,N,9,,0.0045,1370,720,200,5153.25,0.010144683,2nd February 2018,-39.246393,175.72854
10,1.00E+04,E,7,,0.0019,0,0,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N3,N,8,,0.0031,650,1030,0,631.25,0.474718211,8th February 2018,-39.208923,175.74728
3,3.00E+03,E,10,,0.0024,680,760,200,#N/A,#N/A,24th January 2018,-39.244746,175.73156
10,10H3,H,8,,0.0043,850,780,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,1.00E+03,E,8,,0.0022,440,450,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N2,N,10,,0.0014,970,1050,0,573.75,0.766763848,8th February 2018,-39.208923,175.74728
10,10N1,N,9,,0.0015,610,990,0,2750.5,0.985976591,8th February 2018,-39.208923,175.74728
10,1.00E+02,E,9,,0.0021,1320,1000,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
3,3.00E+02,E,7,,0.0019,530,530,100,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3N1,N,7,,0.0037,1100,1730,10000,10304.75,0.042530397,24th January 2018,-39.244746,175.73156
3,3N3,N,9,,0.0041,550,650,500,1257.666667,0.84732547,24th January 2018,-39.244746,175.73156
1,1H1,H,8,,0.0012,340,540,500,#N/A,#N/A,24th January 2018,-39.191417,175.7611
P12,P12H3,H,8,8 FOUND. 9 ON BAG,0.0026,550,400,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12E1,E,8,,0.0018,0,0,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12H2,H,8,,0.0022,550,750,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
8,8N1,N,8,8 FOUND 7 ON BAG,0.0016,650,740,0,4454,0.093483634,8th February 2018,-39.243987,175.73228
8,8N2,N,8,,0.0026,820,780,0,4151.5,0.476667572,8th February 2018,-39.243987,175.73228
8,8N3,N,10,,0.0026,490,480,0,9231.25,0.01518269,8th February 2018,-39.243987,175.73228
2,2N2,N,8,,0.0029,660,870,1000,446.25,1,24th January 2018,-39.190239,175.75593
2,2N1,N,8,,0.0025,610,1240,50,218.75,1,24th January 2018,-39.190239,175.75593
2,2H3,H,8,,0.0015,640,680,100,#N/A,#N/A,24th January 2018,-39.190239,175.75593
2,2.00E+03,E,8,,0.0029,760,600,50,#N/A,#N/A,24th January 2018,-39.190239,175.75593
5,5.00E+01,E,8,9 ON BAG. 8 FOUND,0.0019,460,400,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
5,5N3,N,8,,0.0021,760,660,50,161.25,0.879807692,26th January 2018,-39.190077,175.75959
5,5H2,H,8,,0.0022,950,1010,50,#N/A,#N/A,26th January 2018,-39.190077,175.75959
12,12N1,N,9,,0.0019,630,430,0,7991.75,0.005787078,#N/A,#N/A,#N/A
12,1.20E+02,E,10,,0.0021,760,520,0,#N/A,#N/A,#N/A,#N/A,#N/A
12,12N2,N,8,,0.0031,720,910,0,6751.25,0.003218389,#N/A,#N/A,#N/A
9,9N3,N,8,9 BUT LOST ONE,0.0026,1040,480,0,120.75,1,8th February 2018,-39.209008,175.74695
9,9H2,H,10,,0.0014,590,500,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H3,H,8,,0.0018,910,680,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H1,H,10,,0.0026,670,1130,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N1,N,10,,0.0028,530,740,0,236.75,0.988888889,8th February 2018,-39.209008,175.74695
4,4N3,N,9,,0.0018,770,700,200,5521,1,26th January 2018,-39.208999,175.74733
4,4N1,N,10,11 BUT DROPPPED ONE,0.0028,780,900,200,3749.25,1,26th January 2018,-39.208999,175.74733
4,4H1,H,9,,0.0026,780,1380,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4.00E+02,E,11,,0.0028,720,400,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4H2,H,11,,0.002,640,820,100,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N2,N,9,,0.004,670,870,200,805,1,26th January 2018,-39.208999,175.74733
7,7H1,H,8,,0.0028,660,1040,10,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7.00E+01,E,9,,0.001,630,600,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H3,H,9,,0.0021,480,470,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N3,N,9,,0.0027,1030,1450,10000,33.5,1,2nd February 2018,-39.190918,175.75616
7,7H2,H,9,,0.0042,540,850,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N1,N,8,,0.0028,730,420,50,30,1,2nd February 2018,-39.190918,175.75616
7,7N2,N,9,10 BUT DROPPED ONE,0.0033,720,870,100,5.25,1,2nd February 2018,-39.190918,175.75616
6,6N3,N,9,,0.0031,760,730,100,4846.5,0.004377957,2nd February 2018,-39.246393,175.72854
6,6H3,H,8,9 BUT 8 FOUND,0.0019,670,680,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N2,N,8,,0.0019,520,450,200,6629,0.002009092,2nd February 2018,-39.246393,175.72854
6,6.00E+02,E,8,,0.0015,780,880,200,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6.00E+01,E,8,,0.0011,500,550,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N1,N,9,,0.0043,1370,720,200,5153.25,0.010144683,2nd February 2018,-39.246393,175.72854
10,10N3,N,8,,0.0022,650,1030,0,631.25,0.474718211,8th February 2018,-39.208923,175.74728
3,3.00E+03,E,10,,0.0013,680,760,200,#N/A,#N/A,24th January 2018,-39.244746,175.73156
10,10H3,H,8,,0.0036,850,780,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,1.00E+03,E,8,,0.0027,440,450,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
10,10N2,N,10,,0.0012,970,1050,0,573.75,0.766763848,8th February 2018,-39.208923,175.74728
10,10N1,N,9,,0.002,610,990,0,2750.5,0.985976591,8th February 2018,-39.208923,175.74728
10,1.00E+02,E,9,,0.0014,1320,1000,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
3,3.00E+02,E,7,,0.0018,530,530,100,#N/A,#N/A,24th January 2018,-39.244746,175.73156
3,3N3,N,9,,0.0037,550,650,500,1257.666667,0.84732547,24th January 2018,-39.244746,175.73156
8,8N3,N,10,,0.0024,490,480,0,9231.25,0.01518269,8th February 2018,-39.243987,175.73228
12,12N1,N,9,,0.0014,630,430,0,7991.75,0.005787078,#N/A,#N/A,#N/A
12,1.20E+02,E,10,,0.002,760,520,0,#N/A,#N/A,#N/A,#N/A,#N/A
9,9H2,H,10,,0.0013,590,500,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H1,H,10,,0.0012,670,1130,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N1,N,10,,0.0016,530,740,0,236.75,0.988888889,8th February 2018,-39.209008,175.74695
4,4N3,N,9,,0.004,770,700,200,5521,1,26th January 2018,-39.208999,175.74733
4,4N1,N,10,11 BUT DROPPPED ONE,0.0026,780,900,200,3749.25,1,26th January 2018,-39.208999,175.74733
4,4H1,H,9,,0.0016,780,1380,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4.00E+02,E,11,,0.0021,720,400,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4H2,H,11,,0.0035,640,820,100,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4N2,N,9,,0.0038,670,870,200,805,1,26th January 2018,-39.208999,175.74733
7,7.00E+01,E,9,,0.0009,630,600,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7H3,H,9,,0.0026,480,470,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N3,N,9,,0.0021,1030,1450,10000,33.5,1,2nd February 2018,-39.190918,175.75616
7,7H2,H,9,,0.0032,540,850,20,#N/A,#N/A,2nd February 2018,-39.190918,175.75616
7,7N2,N,9,10 BUT DROPPED ONE,0.002,720,870,100,5.25,1,2nd February 2018,-39.190918,175.75616
6,6N3,N,9,,0.002,760,730,100,4846.5,0.004377957,2nd February 2018,-39.246393,175.72854
6,6.00E+01,E,8,,0.0016,500,550,50,#N/A,#N/A,2nd February 2018,-39.246393,175.72854
6,6N1,N,9,,0.002,1370,720,200,5153.25,0.010144683,2nd February 2018,-39.246393,175.72854
3,3.00E+03,E,10,,0.0014,680,760,200,#N/A,#N/A,24th January 2018,-39.244746,175.73156
10,10N2,N,10,,0.0031,970,1050,0,573.75,0.766763848,8th February 2018,-39.208923,175.74728
10,10N1,N,9,,0.0023,610,990,0,2750.5,0.985976591,8th February 2018,-39.208923,175.74728
10,1.00E+02,E,9,,0.0034,1320,1000,0,#N/A,#N/A,8th February 2018,-39.208923,175.74728
3,3N3,N,9,,0.0031,550,650,500,1257.666667,0.84732547,24th January 2018,-39.244746,175.73156
8,8N3,N,10,,0.0028,490,480,0,9231.25,0.01518269,8th February 2018,-39.243987,175.73228
12,1.20E+02,E,10,,0.0016,760,520,0,#N/A,#N/A,#N/A,#N/A,#N/A
9,9H2,H,10,,0.0024,590,500,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9H1,H,10,,0.0018,670,1130,0,#N/A,#N/A,8th February 2018,-39.209008,175.74695
9,9N1,N,10,,0.0025,530,740,0,236.75,0.988888889,8th February 2018,-39.209008,175.74695
4,4N1,N,10,11 BUT DROPPPED ONE,0.0011,780,900,200,3749.25,1,26th January 2018,-39.208999,175.74733
4,4.00E+02,E,11,,0.0029,720,400,200,#N/A,#N/A,26th January 2018,-39.208999,175.74733
4,4H2,H,11,,0.003,640,820,100,#N/A,#N/A,26th January 2018,-39.208999,175.74733
10,10N2,N,10,,0.0019,970,1050,0,573.75,0.766763848,8th February 2018,-39.208923,175.74728
